County,Cases,Deaths
Alamance,5551,90
Alexander,1038,12
Alleghany,340,1
Anson,754,13
Ashe,521,3
Avery,673,2
Beaufort,1462,46
Bertie,744,21
Bladen,1128,19
Brunswick,2311,52
Buncombe,4443,109
Burke,2899,56
Cabarrus,5237,95
Caldwell,2795,19
Camden,144,3
Carteret,1278,5
Caswell,661,5
Catawba,4936,63
Chatham,2022,62
Cherokee,806,15
Chowan,546,16
Clay,252,3
Cleveland,3458,91
Columbus,1832,64
Craven,2502,63
Cumberland,7561,103
Currituck,238,4
Dare,414,3
Davidson,3991,46
Davie,825,8
Duplin,2922,54
Durham,9511,102
Edgecombe,2134,65
Forsyth,9546,126
Franklin,1544,32
Gaston,8102,144
Gates,172,3
Graham,254,10
Granville,2130,51
Greene,991,16
Guilford,12444,214
Halifax,1547,30
Harnett,3167,74
Haywood,783,36
Henderson,2630,67
Hertford,878,35
Hoke,1630,26
Hyde,177,5
Iredell,4117,34
Jackson,1159,7
Johnston,6024,68
Jones,208,15
Lee,2204,22
Lenoir,1586,42
Luncoln,2638,16
Macon,787,7
Madison,321,5
Martin,688,20
McDowell,1428,34
Mecklenburg,35609,402
Mitchell,301,4
Montgomery,1235,39
Moore,2366,51
Nash,3656,83
New Hanover,5593,40
Northampton,607,22
Onslow,3751,33
Orange,3236,59
Pamlico,337,3
Pasquotank,916,35
Pender,1511,17
Perquimans,266,4
Persons,745,10
Pitt,6493,41
Polk,413,13
Randolph,4139,69
Richmond,1508,35
Robeson,6389,101
Rockingham,2264,19
Rowan,4420,121
Rutherford,1844,67
Sampson,2976,31
Scotland,1705,30
Stanly,2523,74
Stokes,767,13
Surry,2093,37
Swain,309,5
Transylvania,449,9
Tyrrell,134,3
Union,6273,66
Vance,1281,47
Wake,22560,277
Warren,508,7
Washington,273,8
Watauga,1467,6
Wayne,4899,92
Wilkes,1972,41
Wilson,3290,69
Yadkin,1134,11
Yancey,365,2
