County,Value
Alamance,20.6
Alexander,5.9
Alleghany,1.9
Anson,48.6
Ashe,1
Avery,4.6
Beaufort,25.1
Bertie,61.2
Bladen,34.2
Brunswick,10.3
Buncombe,6.3
Burke,6.9
Cabarrus,19
Caldwell,5
Camden,12
Carteret,5.8
Caswell,32.3
Catawba,9
Chatham,12.7
Cherokee,1.7
Chowan,34.5
Clay,1.3
Cleveland,20.9
Columbus,30.5
Craven,21.5
Cumberland,39
Currituck,5.8
Dare,2.7
Davidson,9.9
Davie,6.5
Duplin,25.5
Durham,37.3
Edgecombe,57.8
Forsyth,27.5
Franklin,26
Gaston,17.6
Gates,31.2
Graham,0.5
Granville,32.1
Greene,36.8
Guilford,35.1
Halifax,53.7
Harnett,22
Haywood,1.3
Henderson,3.4
Hertford,61
Hoke,35.3
Hyde,29
Iredell,12.3
Jackson,2.3
Johnston,16.8
Jones,30.1
Lee,20.1
Lenoir,41.5
Luncoln,5.7
Macon,1.6
Madison,1.5
Martin,42.3
McDowell,4.1
Mecklenburg,32.9
Mitchell,0.7
Montgomery,19
Moore,12.2
Nash,41
New Hanover,13.7
Northampton,57.5
Onslow,15.9
Orange,11.8
Pamlico,19.2
Pasquotank,36.5
Pender,15.1
Perquimans,23
Persons,27.1
Pitt,35.7
Polk,4.4
Randolph,6.6
Richmond,32
Robeson,23.8
Rockingham,19
Rowan,16.8
Rutherford,9.9
Sampson,26.6
Scotland,39
Stanly,11.5
Stokes,4
Surry,4.2
Swain,1.2
Transylvania,3.6
Tyrrell,38.1
Union,12.3
Vance,51.5
Wake,21
Warren,51.5
Washington,48.8
Watauga,1.9
Wayne,32.3
Wilkes,4.7
Wilson,40.4
Yadkin,3.5
Yancey,1.1
