County,Population
Alamance County,"169,509"
Alexander County,"37,497"
Alleghany County,"11,137"
Anson County,"24,446"
Ashe County,"27,203"
Avery County,"17,557"
Beaufort County,"46,994"
Bertie County,"18,947"
Bladen County,"32,722"
Brunswick County,"142,820"
Buncombe County,"261,191"
Burke County,"90,485"
Cabarrus County,"216,453"
Caldwell County,"82,178"
Camden County,"10,867"
Carteret County,"69,473"
Caswell County,"22,604"
Catawba County,"159,551"
Chatham County,"74,470"
Cherokee County,"28,612"
Chowan County,"13,943"
Clay County,"11,231"
Cleveland County,"97,947"
Columbus County,"55,508"
Craven County,"102,139"
Cumberland County,"335,509"
Currituck County,"27,763"
Dare County,"37,009"
Davidson County,"167,609"
Davie County,"42,846"
Duplin County,"58,741"
Durham County,"321,488"
Edgecombe County,"51,472"
Forsyth County,"382,295"
Franklin County,"69,685"
Gaston County,"224,529"
Gates County,"11,562"
Graham County,"8,441"
Granville County,"60,443"
Greene County,"21,069"
Guilford County,"537,174"
Halifax County,"50,010"
Harnett County,"135,976"
Haywood County,"62,317"
Henderson County,"117,417"
Hertford County,"23,677"
Hoke County,"55,234"
Hyde County,"4,937"
Iredell County,"181,806"
Jackson County,"43,938"
Johnston County,"209,339"
Jones County,"9,419"
Lee County,"61,779"
Lenoir County,"55,949"
Lincoln County,"86,111"
Macon County,"35,858"
Madison County,"21,755"
Martin County,"22,440"
McDowell County,"45,756"
Mecklenburg County,"1,110,356"
Mitchell County,"14,964"
Montgomery County,"27,173"
Moore County,"100,880"
Nash County,"94,298"
New Hanover County,"234,473"
Northampton County,"19,483"
Onslow County,"197,938"
Orange County,"148,476"
Pamlico County,"12,726"
Pasquotank County,"39,824"
Pender County,"63,060"
Perquimans County,"13,463"
Person County,"39,490"
Pitt County,"180,742"
Polk County,"20,724"
Randolph County,"143,667"
Richmond County,"44,829"
Robeson County,"130,625"
Rockingham County,"91,010"
Rowan County,"142,088"
Rutherford County,"67,029"
Sampson County,"63,531"
Scotland County,"34,823"
Stanly County,"62,806"
Stokes County,"45,591"
Surry County,"71,783"
Swain County,"14,271"
Transylvania County,"34,385"
Tyrrell County,"4,016"
Union County,"239,859"
Vance County,"44,535"
Wake County,"1,111,761"
Warren County,"19,731"
Washington County,"11,580"
Watauga County,"56,177"
Wayne County,"123,131"
Wilkes County,"68,412"
Wilson County,"81,801"
Yadkin County,"37,667"
Yancey County,"18,069"
